id,name,category,default_unit,calories_per_unit,is_perishable,shelf_life_days,created_at,updated_at
1,Butter,,g,,True,,2025-08-18 18:57:27.308984,2025-08-18 18:57:27.308992
2,Onion,,piece,,True,,2025-08-18 18:57:27.324524,2025-08-18 18:57:27.324534
3,Tofu,,g,,True,,2025-08-18 18:57:27.337968,2025-08-18 18:57:27.337980
4,Lime,,piece,,True,,2025-08-18 18:57:27.350249,2025-08-18 18:57:27.350260
5,Potato starch,,tbsp,,True,,2025-08-18 18:57:27.361263,2025-08-18 18:57:27.361271
6,Shallot,,,,True,,2025-08-18 18:57:27.372497,2025-08-18 18:57:27.372507
7,Red onion,,piece,,True,,2025-08-18 18:57:27.383121,2025-08-18 18:57:27.383131
8,Smoked tofu,,g,,True,,2025-08-18 18:57:27.394298,2025-08-18 18:57:27.394307
9,Rapeseed oil,,tbsp,,True,,2025-08-18 18:57:27.405972,2025-08-18 18:57:27.405981
10,Pasta,,g,,True,,2025-08-18 18:57:27.429536,2025-08-18 18:57:27.429545
11,Garlic,,clove,,True,,2025-08-18 18:57:27.444096,2025-08-18 18:57:27.444108
12,Pepper,,piece,,True,,2025-08-18 18:57:27.463517,2025-08-18 18:57:27.463528
13,Burrata,,piece,,True,,2025-08-18 18:57:27.497221,2025-08-18 18:57:27.497232
14,Ginger,,cm,,True,,2025-08-18 18:57:27.517711,2025-08-18 18:57:27.517723
15,Hard cheese,,g,,True,,2025-08-18 18:57:27.530965,2025-08-18 18:57:27.530975
16,Brown sugar,,tbsp,,True,,2025-08-18 18:57:27.552591,2025-08-18 18:57:27.552604
17,Tomato passata,,cup,,True,,2025-08-18 18:57:27.586548,2025-08-18 18:57:27.586558
18,Sesame oil,,tbsp,,True,,2025-08-18 18:57:27.604926,2025-08-18 18:57:27.604966
19,Capers,,tbsp,,True,,2025-08-18 18:57:27.619514,2025-08-18 18:57:27.619528
20,Olive oil,,cup,,True,,2025-08-18 18:57:27.638167,2025-08-18 18:57:27.638179
21,Chili flakes,,tsp,,True,,2025-08-18 18:57:27.654097,2025-08-18 18:57:27.654107
22,Zucchini,,piece,,True,,2025-08-18 18:57:27.666830,2025-08-18 18:57:27.666850
23,Cucumber,,piece,,True,,2025-08-18 18:57:27.678899,2025-08-18 18:57:27.678909
24,Carrot,,piece,,True,,2025-08-18 18:57:27.697140,2025-08-18 18:57:27.697150
25,Lentils,,g,,True,,2025-08-18 18:57:27.713700,2025-08-18 18:57:27.713711
26,Lemon,,piece,,True,,2025-08-18 18:57:27.727109,2025-08-18 18:57:27.727119
27,Garam masala,,tsp,,True,,2025-08-18 18:57:27.746009,2025-08-18 18:57:27.746020
28,Canned tomatoes,,g,,True,,2025-08-18 18:57:27.765982,2025-08-18 18:57:27.765993
29,Sunflower oil,,tbsp,,True,,2025-08-18 18:57:27.777585,2025-08-18 18:57:27.777595
30,Coriander,,,,True,,2025-08-18 18:57:27.795989,2025-08-18 18:57:27.795998
31,Soy milk,,cup,,True,,2025-08-18 18:57:27.811055,2025-08-18 18:57:27.811066
32,Orange juice,,cup,,True,,2025-08-18 18:57:27.824580,2025-08-18 18:57:27.824588
33,Soy sauce,,tbsp,,True,,2025-08-18 18:57:27.833917,2025-08-18 18:57:27.833926
34,Olives,,piece,,True,,2025-08-18 18:57:27.842842,2025-08-18 18:57:27.842851
35,Cream 30%,,ml,,True,,2025-08-18 18:57:27.857706,2025-08-18 18:57:27.857715
36,Corn,,can,,True,,2025-08-18 18:57:27.870652,2025-08-18 18:57:27.870662
37,Spring onion,,piece,,True,,2025-08-18 18:57:27.887162,2025-08-18 18:57:27.887171
38,Tomato paste,,tbsp,,True,,2025-08-18 18:57:27.898100,2025-08-18 18:57:27.898112
39,Chicken spice,,tsp,,True,,2025-08-18 18:57:27.909116,2025-08-18 18:57:27.909125
40,Cherry tomatoes,,piece,,True,,2025-08-18 18:57:27.919486,2025-08-18 18:57:27.919496
41,Cumin,,tsp,,True,,2025-08-18 18:57:27.932388,2025-08-18 18:57:27.932396
42,Mushrooms,,g,,True,,2025-08-18 18:57:27.942718,2025-08-18 18:57:27.942727
43,Basil,,,,True,,2025-08-18 18:57:27.951305,2025-08-18 18:57:27.951316
44,Brussels sprouts,,g,,True,,2025-08-18 18:57:27.964602,2025-08-18 18:57:27.964610
45,Chili,,piece,,True,,2025-08-18 18:57:27.975414,2025-08-18 18:57:27.975424
46,Harissa,,tsp,,True,,2025-08-18 18:57:27.988315,2025-08-18 18:57:27.988323
47,Coconut milk,,tbsp,,True,,2025-08-18 18:57:27.997581,2025-08-18 18:57:27.997589
48,Sugar,,tbsp,,True,,2025-08-18 18:57:28.017344,2025-08-18 18:57:28.017353
49,Cardamom,,seeds,,True,,2025-08-18 18:57:28.031892,2025-08-18 18:57:28.031903
50,Basil tofu,,piece,,True,,2025-08-18 18:57:28.043608,2025-08-18 18:57:28.043617
51,Anchovies,,fillet,,True,,2025-08-18 18:57:28.053727,2025-08-18 18:57:28.053735
52,White beans,,g,,True,,2025-08-18 18:57:28.062712,2025-08-18 18:57:28.062720
